"contentDetails.videoId","kind.x","etag.x","id.x","snippet.publishedAt","snippet.channelId","snippet.title","snippet.description","snippet.channelTitle","snippet.playlistId","snippet.position","snippet.videoOwnerChannelTitle","snippet.videoOwnerChannelId","snippet.thumbnails.default.url","snippet.thumbnails.default.width","snippet.thumbnails.default.height","snippet.thumbnails.medium.url","snippet.thumbnails.medium.width","snippet.thumbnails.medium.height","snippet.thumbnails.high.url","snippet.thumbnails.high.width","snippet.thumbnails.high.height","snippet.thumbnails.standard.url","snippet.thumbnails.standard.width","snippet.thumbnails.standard.height","snippet.thumbnails.maxres.url","snippet.thumbnails.maxres.width","snippet.thumbnails.maxres.height","snippet.resourceId.kind","snippet.resourceId.videoId","contentDetails.videoPublishedAt","status.privacyStatus","kind.y","etag.y","id.y","contentDetails.duration","contentDetails.dimension","contentDetails.definition","contentDetails.caption","contentDetails.licensedContent","contentDetails.projection","statistics.viewCount","statistics.likeCount","statistics.favoriteCount","statistics.commentCount","contentDetails.contentRating.ytRating"
"-fRDXmWyBWg","youtube#playlistItem","E8truZRbTxsiKiS2ZDsZOogFxsE","VVV0ZFR3bU5pUk9lRXFtdl9TR2s1MTNnLi1mUkRYbVd5Qldn","2021-04-30T14:44:19Z","UCtdTwmNiROeEqmv_SGk513g","Black Businesses Need Aggressive Training","","Penuel The Black Pen","UUtdTwmNiROeEqmv_SGk513g",324,"Penuel The Black Pen","UCtdTwmNiROeEqmv_SGk513g","https://i.ytimg.com/vi/-fRDXmWyBWg/default.jpg",120,90,"https://i.ytimg.com/vi/-fRDXmWyBWg/mqdefault.jpg",320,180,"https://i.ytimg.com/vi/-fRDXmWyBWg/hqdefault.jpg",480,360,"https://i.ytimg.com/vi/-fRDXmWyBWg/sddefault.jpg",640,480,NA,NA,NA,"youtube#video","-fRDXmWyBWg","2021-04-30T14:44:19Z","public","youtube#video","UExTk2mJcAsm54lbXeA2VoEoxJ0","-fRDXmWyBWg","PT7M53S","2d","sd","false",TRUE,"rectangular","886","65","0","9",NA
"-FtpR3vPywY","youtube#playlistItem","3LO6DRswuDnBiK4xPbSEv17L5es","VVV0ZFR3bU5pUk9lRXFtdl9TR2s1MTNnLi1GdHBSM3ZQeXdZ","2018-03-09T15:39:55Z","UCtdTwmNiROeEqmv_SGk513g","The scariest video you'll ever see!!!","You've been warned!","Penuel The Black Pen","UUtdTwmNiROeEqmv_SGk513g",472,"Penuel The Black Pen","UCtdTwmNiROeEqmv_SGk513g","https://i.ytimg.com/vi/-FtpR3vPywY/default.jpg",120,90,"https://i.ytimg.com/vi/-FtpR3vPywY/mqdefault.jpg",320,180,"https://i.ytimg.com/vi/-FtpR3vPywY/hqdefault.jpg",480,360,"https://i.ytimg.com/vi/-FtpR3vPywY/sddefault.jpg",640,480,"https://i.ytimg.com/vi/-FtpR3vPywY/maxresdefault.jpg",1280,720,"youtube#video","-FtpR3vPywY","2018-03-09T15:39:55Z","public","youtube#video","1xnxZBS5IIx0_xaiZBoeldoc4jk","-FtpR3vPywY","PT20S","2d","hd","false",TRUE,"rectangular","519","9","0","0",NA
"-JdsMxADVaI","youtube#playlistItem","KOQEnq9Ex1ql_OxKcRtu1CJdrsY","VVV0ZFR3bU5pUk9lRXFtdl9TR2s1MTNnLi1KZHNNeEFEVmFJ","2022-02-17T18:06:32Z","UCtdTwmNiROeEqmv_SGk513g","Eric Samson, Founder of MacSteel & a Few Thoughts Around South African Jewish Business People","","Penuel The Black Pen","UUtdTwmNiROeEqmv_SGk513g",219,"Penuel The Black Pen","UCtdTwmNiROeEqmv_SGk513g","https://i.ytimg.com/vi/-JdsMxADVaI/default.jpg",120,90,"https://i.ytimg.com/vi/-JdsMxADVaI/mqdefault.jpg",320,180,"https://i.ytimg.com/vi/-JdsMxADVaI/hqdefault.jpg",480,360,"https://i.ytimg.com/vi/-JdsMxADVaI/sddefault.jpg",640,480,NA,NA,NA,"youtube#video","-JdsMxADVaI","2022-02-17T18:06:32Z","public","youtube#video","siu-7STKye8xZz7-K1pw_6zYULY","-JdsMxADVaI","PT22M23S","2d","sd","false",TRUE,"rectangular","3574","149","0","15",NA
"-Siq42zYXdI","youtube#playlistItem","JvZMIeAvCSMBO9PA1KkZj2Oh59s","VVV0ZFR3bU5pUk9lRXFtdl9TR2s1MTNnLi1TaXE0MnpZWGRJ","2022-03-06T09:20:10Z","UCtdTwmNiROeEqmv_SGk513g","Stealing Land (Back) Through Squatter Camps, NFTs & Luxury Goods | King Leopold & The DRC/Zaire","","Penuel The Black Pen","UUtdTwmNiROeEqmv_SGk513g",202,"Penuel The Black Pen","UCtdTwmNiROeEqmv_SGk513g","https://i.ytimg.com/vi/-Siq42zYXdI/default.jpg",120,90,"https://i.ytimg.com/vi/-Siq42zYXdI/mqdefault.jpg",320,180,"https://i.ytimg.com/vi/-Siq42zYXdI/hqdefault.jpg",480,360,NA,NA,NA,NA,NA,NA,"youtube#video","-Siq42zYXdI","2022-03-06T09:20:10Z","public","youtube#video","KHnMWZ0QWhIDEdKnhvSyZ1RvUAA","-Siq42zYXdI","PT7M6S","2d","sd","false",TRUE,"rectangular","1750","78","0","25",NA
"-UBAneEPT74","youtube#playlistItem","R6jL1CVpDiVIqzsg1Tqp0DI_60o","VVV0ZFR3bU5pUk9lRXFtdl9TR2s1MTNnLi1VQkFuZUVQVDc0","2022-03-10T06:35:42Z","UCtdTwmNiROeEqmv_SGk513g","How I Left The Zulu Nation & Christianity | Penuelism | Cultural Sellouts | Religion & The Mind","","Penuel The Black Pen","UUtdTwmNiROeEqmv_SGk513g",199,"Penuel The Black Pen","UCtdTwmNiROeEqmv_SGk513g","https://i.ytimg.com/vi/-UBAneEPT74/default.jpg",120,90,"https://i.ytimg.com/vi/-UBAneEPT74/mqdefault.jpg",320,180,"https://i.ytimg.com/vi/-UBAneEPT74/hqdefault.jpg",480,360,"https://i.ytimg.com/vi/-UBAneEPT74/sddefault.jpg",640,480,NA,NA,NA,"youtube#video","-UBAneEPT74","2022-03-10T06:35:42Z","public","youtube#video","cwk3o14qEPtKspLMZfBFhAG3f9A","-UBAneEPT74","PT1H15M9S","2d","sd","false",TRUE,"rectangular","3605","169","0","55",NA
"_8g_NlPvt7M","youtube#playlistItem","2YNE50Zzx3V6N1-hlXVNcgf-yH4","VVV0ZFR3bU5pUk9lRXFtdl9TR2s1MTNnLl84Z19ObFB2dDdN","2020-11-09T15:59:30Z","UCtdTwmNiROeEqmv_SGk513g","EFF Protest at Brackenfell High","My thoughts on the stupid reactions of social media users regarding this matter, as well as your supposed leaders. Let's use our heads where possible. We're all so so different.","Penuel The Black Pen","UUtdTwmNiROeEqmv_SGk513g",367,"Penuel The Black Pen","UCtdTwmNiROeEqmv_SGk513g","https://i.ytimg.com/vi/_8g_NlPvt7M/default.jpg",120,90,"https://i.ytimg.com/vi/_8g_NlPvt7M/mqdefault.jpg",320,180,"https://i.ytimg.com/vi/_8g_NlPvt7M/hqdefault.jpg",480,360,"https://i.ytimg.com/vi/_8g_NlPvt7M/sddefault.jpg",640,480,NA,NA,NA,"youtube#video","_8g_NlPvt7M","2020-11-09T15:59:30Z","public","youtube#video","fLHT8MNh_Uukm9Nc4q6ua47lUd0","_8g_NlPvt7M","PT12M24S","2d","sd","false",TRUE,"rectangular","9903","586","0","183",NA
"_A52Daszxqk","youtube#playlistItem","Q3IIZhohjyPBGC4vblVajjp11yk","VVV0ZFR3bU5pUk9lRXFtdl9TR2s1MTNnLl9BNTJEYXN6eHFr","2021-10-03T10:47:56Z","UCtdTwmNiROeEqmv_SGk513g","Chatting with Dr Khulani Sikhosana from Vuka Darkie","","Penuel The Black Pen","UUtdTwmNiROeEqmv_SGk513g",280,"Penuel The Black Pen","UCtdTwmNiROeEqmv_SGk513g","https://i.ytimg.com/vi/_A52Daszxqk/default.jpg",120,90,"https://i.ytimg.com/vi/_A52Daszxqk/mqdefault.jpg",320,180,"https://i.ytimg.com/vi/_A52Daszxqk/hqdefault.jpg",480,360,"https://i.ytimg.com/vi/_A52Daszxqk/sddefault.jpg",640,480,NA,NA,NA,"youtube#video","_A52Daszxqk","2021-10-03T10:47:56Z","public","youtube#video","IDkkMsX8FqTIY9oYWugKAL9aCjY","_A52Daszxqk","PT12M6S","2d","sd","false",TRUE,"rectangular","2509","139","0","13",NA
"_GErnasgSh0","youtube#playlistItem","uO1glkCXBkVsPhd7G_OInpPKem4","VVV0ZFR3bU5pUk9lRXFtdl9TR2s1MTNnLl9HRXJuYXNnU2gw","2022-07-06T07:50:27Z","UCtdTwmNiROeEqmv_SGk513g","I Hate Race & Gender Politics... Bheki Cele Can't Accept Harsh Truths from a White Man","","Penuel The Black Pen","UUtdTwmNiROeEqmv_SGk513g",103,"Penuel The Black Pen","UCtdTwmNiROeEqmv_SGk513g","https://i.ytimg.com/vi/_GErnasgSh0/default.jpg",120,90,"https://i.ytimg.com/vi/_GErnasgSh0/mqdefault.jpg",320,180,"https://i.ytimg.com/vi/_GErnasgSh0/hqdefault.jpg",480,360,"https://i.ytimg.com/vi/_GErnasgSh0/sddefault.jpg",640,480,"https://i.ytimg.com/vi/_GErnasgSh0/maxresdefault.jpg",1280,720,"youtube#video","_GErnasgSh0","2022-07-06T07:50:27Z","public","youtube#video","h0gnvREV1QA8hnUoP_tMSsxdDVQ","_GErnasgSh0","PT11M6S","2d","hd","false",TRUE,"rectangular","3794","335","0","59",NA
"_nfcRX0w6DQ","youtube#playlistItem","85kEosIRLFkd31epJxpumey5BQs","VVV0ZFR3bU5pUk9lRXFtdl9TR2s1MTNnLl9uZmNSWDB3NkRR","2022-02-16T15:20:10Z","UCtdTwmNiROeEqmv_SGk513g","Some Thoughts around The Cost of Children (& why domestic workers should only earn R1500 per month)","","Penuel The Black Pen","UUtdTwmNiROeEqmv_SGk513g",221,"Penuel The Black Pen","UCtdTwmNiROeEqmv_SGk513g","https://i.ytimg.com/vi/_nfcRX0w6DQ/default.jpg",120,90,"https://i.ytimg.com/vi/_nfcRX0w6DQ/mqdefault.jpg",320,180,"https://i.ytimg.com/vi/_nfcRX0w6DQ/hqdefault.jpg",480,360,"https://i.ytimg.com/vi/_nfcRX0w6DQ/sddefault.jpg",640,480,NA,NA,NA,"youtube#video","_nfcRX0w6DQ","2022-02-16T15:20:10Z","public","youtube#video","Pu2zFuruza5ChIxRoNk0rdBjh0o","_nfcRX0w6DQ","PT5M9S","2d","sd","false",TRUE,"rectangular","1978","69","0","52",NA
"_SDwPN8puFc","youtube#playlistItem","qONa7t2UoluEHqcyIaYJSxcgh2E","VVV0ZFR3bU5pUk9lRXFtdl9TR2s1MTNnLl9TRHdQTjhwdUZj","2022-09-20T07:14:27Z","UCtdTwmNiROeEqmv_SGk513g","Jacob Zuma Speech on The Shortcomings of the ANC | My Thoughts on Foreigners, Good & Bad People","","Penuel The Black Pen","UUtdTwmNiROeEqmv_SGk513g",15,"Penuel The Black Pen","UCtdTwmNiROeEqmv_SGk513g","https://i.ytimg.com/vi/_SDwPN8puFc/default.jpg",120,90,"https://i.ytimg.com/vi/_SDwPN8puFc/mqdefault.jpg",320,180,"https://i.ytimg.com/vi/_SDwPN8puFc/hqdefault.jpg",480,360,NA,NA,NA,NA,NA,NA,"youtube#video","_SDwPN8puFc","2022-09-20T07:14:27Z","public","youtube#video","gsqfx0SVJIB_tvTWXmS70-Clhd8","_SDwPN8puFc","PT41M13S","2d","sd","false",TRUE,"rectangular","4799","181","0","27",NA
